taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,structural_zero (Grauer's),structural_zero (Mountain),structural_zero (Western)
GO:0001731: [BP] formation of translation preinitiation complex,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0002097: [BP] tRNA wobble base modification,17,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0002098: [BP] tRNA wobble uridine modification,294,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing,32,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0002101: [BP] tRNA wobble cytosine modification,231,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0002143: [BP] tRNA wobble position uridine thiolation,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0002181: [BP] cytoplasmic translation,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification,40,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0003333: [BP] amino acid transmembrane transport,375,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005975: [BP] carbohydrate metabolic process,59,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005976: [BP] polysaccharide metabolic process,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005977: [BP] glycogen metabolic process,155,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005978: [BP] glycogen biosynthetic process,22,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005980: [BP] glycogen catabolic process,9,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005985: [BP] sucrose metabolic process,1,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005988: [BP] lactose metabolic process,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005990: [BP] lactose catabolic process,125,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005991: [BP] trehalose metabolic process,584,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0005992: [BP] trehalose biosynthetic process,856,FALSE,TRUE,TRUE,TRUE,0,0,0
GO:0005993: [BP] trehalose catabolic process,642,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0005996: [BP] monosaccharide metabolic process,2,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0005997: [BP] xylulose metabolic process,152,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006000: [BP] fructose metabolic process,226,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006002: [BP] fructose 6-phosphate metabolic process,37,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006003: [BP] fructose 2,6-bisphosphate metabolic process",Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006004: [BP] fucose metabolic process,575,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006006: [BP] glucose metabolic process,26,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006007: [BP] glucose catabolic process,674,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0006011: [BP] UDP-glucose metabolic process,245,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006012: [BP] galactose metabolic process,17,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006013: [BP] mannose metabolic process,61,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006014: [BP] D-ribose metabolic process,254,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process,27,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006021: [BP] inositol biosynthetic process,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006031: [BP] chitin biosynthetic process,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006032: [BP] chitin catabolic process,75,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006040: [BP] amino sugar metabolic process,657,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0006044: [BP] N-acetylglucosamine metabolic process,64,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006046: [BP] N-acetylglucosamine catabolic process,Inf,TRUE,TRUE,TRUE,TRUE,0,0,1
GO:0006047: [BP] UDP-N-acetylglucosamine metabolic process,552,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006048: [BP] UDP-N-acetylglucosamine biosynthetic process,485,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006051: [BP] N-acetylmannosamine metabolic process,434,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006064: [BP] glucuronate catabolic process,84,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006066: [BP] alcohol metabolic process,402,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006069: [BP] ethanol oxidation,2,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006071: [BP] glycerol metabolic process,173,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006072: [BP] glycerol-3-phosphate metabolic process,35,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006078: [BP] (1->6)-beta-D-glucan biosynthetic process,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006080: [BP] substituted mannan metabolic process,18,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006081: [BP] cellular aldehyde metabolic process,86,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006082: [BP] organic acid metabolic process,13,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006084: [BP] acetyl-CoA metabolic process,115,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006085: [BP] acetyl-CoA biosynthetic process,13,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006086: [BP] acetyl-CoA biosynthetic process from pyruvate,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006089: [BP] lactate metabolic process,146,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006090: [BP] pyruvate metabolic process,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006091: [BP] generation of precursor metabolites and energy,469,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006094: [BP] gluconeogenesis,114,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006096: [BP] glycolytic process,53,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006097: [BP] glyoxylate cycle,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006098: [BP] pentose-phosphate shunt,168,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006099: [BP] tricarboxylic acid cycle,46,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006102: [BP] isocitrate metabolic process,25,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006104: [BP] succinyl-CoA metabolic process,22,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006105: [BP] succinate metabolic process,53,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006106: [BP] fumarate metabolic process,288,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006107: [BP] oxaloacetate metabolic process,807,FALSE,TRUE,TRUE,TRUE,0,0,0
GO:0006108: [BP] malate metabolic process,141,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006109: [BP] regulation of carbohydrate metabolic process,314,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006113: [BP] fermentation,255,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006119: [BP] oxidative phosphorylation,55,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006120: [BP] mitochondrial electron transport, NADH to ubiquinone",0,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006122: [BP] mitochondrial electron transport, ubiquinol to cytochrome c",78,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006139: [BP] nucleobase-containing compound metabolic process,34,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006144: [BP] purine nucleobase metabolic process,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006145: [BP] purine nucleobase catabolic process,22,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006146: [BP] adenine catabolic process,486,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006147: [BP] guanine catabolic process,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006163: [BP] purine nucleotide metabolic process,40,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006164: [BP] purine nucleotide biosynthetic process,316,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006165: [BP] nucleoside diphosphate phosphorylation,54,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006166: [BP] purine ribonucleoside salvage,41,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006168: [BP] adenine salvage,42,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006177: [BP] GMP biosynthetic process,22,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006183: [BP] GTP biosynthetic process,19,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006188: [BP] IMP biosynthetic process,1,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006189: [BP] de novo IMP biosynthetic process,42,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006198: [BP] cAMP catabolic process,175,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006203: [BP] dGTP catabolic process,167,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006206: [BP] pyrimidine nucleobase metabolic process,18,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006207: [BP] de novo pyrimidine nucleobase biosynthetic process,73,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006212: [BP] uracil catabolic process,16,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006213: [BP] pyrimidine nucleoside metabolic process,36,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006220: [BP] pyrimidine nucleotide metabolic process,113,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006221: [BP] pyrimidine nucleotide biosynthetic process,923,TRUE,TRUE,TRUE,TRUE,0,0,0
GO:0006222: [BP] UMP biosynthetic process,269,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006223: [BP] uracil salvage,196,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006226: [BP] dUMP biosynthetic process,15,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006228: [BP] UTP biosynthetic process,19,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006229: [BP] dUTP biosynthetic process,15,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006231: [BP] dTMP biosynthetic process,40,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006233: [BP] dTDP biosynthetic process,67,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006235: [BP] dTTP biosynthetic process,213,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006241: [BP] CTP biosynthetic process,19,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006259: [BP] DNA metabolic process,83,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006260: [BP] DNA replication,144,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006261: [BP] DNA-dependent DNA replication,67,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006265: [BP] DNA topological change,234,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006268: [BP] DNA unwinding involved in DNA replication,28,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006269: [BP] DNA replication, synthesis of RNA primer",164,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006270: [BP] DNA replication initiation,66,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006271: [BP] DNA strand elongation involved in DNA replication,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006273: [BP] lagging strand elongation,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006274: [BP] DNA replication termination,108,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006275: [BP] regulation of DNA replication,41,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006276: [BP] plasmid maintenance,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006279: [BP] premeiotic DNA replication,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006281: [BP] DNA repair,110,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006282: [BP] regulation of DNA repair,8,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006284: [BP] base-excision repair,29,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006289: [BP] nucleotide-excision repair,34,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006298: [BP] mismatch repair,237,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006301: [BP] postreplication repair,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006302: [BP] double-strand break repair,601,FALSE,FALSE,FALSE,TRUE,0,0,0
GO:0006303: [BP] double-strand break repair via nonhomologous end joining,40,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006304: [BP] DNA modification,13,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006306: [BP] DNA methylation,35,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006307: [BP] DNA dealkylation involved in DNA repair,2,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006308: [BP] DNA catabolic process,23,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006310: [BP] DNA recombination,158,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006313: [BP] transposition, DNA-mediated",9,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006314: [BP] intron homing,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006323: [BP] DNA packaging,12,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006333: [BP] chromatin assembly or disassembly,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006334: [BP] nucleosome assembly,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006335: [BP] DNA replication-dependent nucleosome assembly,10,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006336: [BP] DNA replication-independent nucleosome assembly,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006338: [BP] chromatin remodeling,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006348: [BP] chromatin silencing at telomere,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
"GO:0006351: [BP] transcription, DNA-templated",28,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006352: [BP] DNA-templated transcription, initiation",190,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006353: [BP] DNA-templated transcription, termination",38,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006354: [BP] DNA-templated transcription, elongation",194,FALSE,FALSE,FALSE,FALSE,0,0,0
"GO:0006355: [BP] regulation of transcription, DNA-templated",130,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006357: [BP] regulation of transcription from RNA polymerase II promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006359: [BP] regulation of transcription from RNA polymerase III promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006360: [BP] transcription from RNA polymerase I promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006364: [BP] rRNA processing,121,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006366: [BP] transcription from RNA polymerase II promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006367: [BP] transcription initiation from RNA polymerase II promoter,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006368: [BP] transcription elongation from RNA polymerase II promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006370: [BP] 7-methylguanosine mRNA capping,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006378: [BP] mRNA polyadenylation,127,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006379: [BP] mRNA cleavage,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006383: [BP] transcription from RNA polymerase III promoter,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
"GO:0006388: [BP] tRNA splicing, via endonucleolytic cleavage and ligation",456,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006396: [BP] RNA processing,262,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006397: [BP] mRNA processing,97,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006400: [BP] tRNA modification,138,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006401: [BP] RNA catabolic process,74,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006402: [BP] mRNA catabolic process,56,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006406: [BP] mRNA export from nucleus,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006412: [BP] translation,59,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006413: [BP] translational initiation,51,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006415: [BP] translational termination,183,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006417: [BP] regulation of translation,129,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006418: [BP] tRNA aminoacylation for protein translation,355,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006419: [BP] alanyl-tRNA aminoacylation,13,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006420: [BP] arginyl-tRNA aminoacylation,163,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006421: [BP] asparaginyl-tRNA aminoacylation,10,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006422: [BP] aspartyl-tRNA aminoacylation,Inf,TRUE,TRUE,TRUE,TRUE,0,1,0
GO:0006423: [BP] cysteinyl-tRNA aminoacylation,168,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006424: [BP] glutamyl-tRNA aminoacylation,158,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006425: [BP] glutaminyl-tRNA aminoacylation,172,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006426: [BP] glycyl-tRNA aminoacylation,40,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006427: [BP] histidyl-tRNA aminoacylation,72,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006428: [BP] isoleucyl-tRNA aminoacylation,0,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006429: [BP] leucyl-tRNA aminoacylation,434,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006430: [BP] lysyl-tRNA aminoacylation,181,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006431: [BP] methionyl-tRNA aminoacylation,15,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006432: [BP] phenylalanyl-tRNA aminoacylation,116,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006433: [BP] prolyl-tRNA aminoacylation,177,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006434: [BP] seryl-tRNA aminoacylation,48,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006435: [BP] threonyl-tRNA aminoacylation,13,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006436: [BP] tryptophanyl-tRNA aminoacylation,151,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006437: [BP] tyrosyl-tRNA aminoacylation,240,FALSE,FALSE,FALSE,FALSE,0,0,0
GO:0006438: [BP] valyl-tRNA aminoacylation,14,FALSE,FALSE,FALSE,FALSE,0,0,0
