source,classification,ID,Species,Culture collection number,Isolation source,Country,Continent,Category 1,Category 2,Category 3
bacdive,Desulfovibrionaceae,4069,Desulfocurvus vexinensis,"DSM 17965, JCM 14038, AS As36, AS 36",Deep artesian well in the Paris Basin###well water from a deep aquifer,France,Europe,#Environmental,#Aquatic,
bacdive,Desulfovibrionaceae,4159,Desulfohalovibrio alkalitolerans,"DSM 16529, JCM 12612",Metal coupon in corrosion monitoring reactor in a district heating plant###metal coupon in corrosion monitoring reactor in District Heating Plant,Denmark,Europe,#Engineered,#Industrial,#Plant (Factory)
bacdive,Desulfovibrionaceae,4159,,,,,,#Engineered,#Industrial,#Engineered product
bacdive,Desulfovibrionaceae,158486,Desulfohalovibrio reitneri,"DSM 26903, JCM 18662",Suboxic zone of a lithifying cyanobacterial mat in the hypersaline Lake 21 at the Kiritimai Atoll###suboxic zone of a cyanobacterial mat at the littoral zone of a hypersaline lake,Kiribati,Australia and Oceania,#Host,#Microbial,#Bacteria
bacdive,Desulfovibrionaceae,158486,,,,,,#Condition,#Saline,
bacdive,Desulfovibrionaceae,158486,,,,,,#Environmental,#Microbial community,#Microbial mat
bacdive,Desulfovibrionaceae,158486,,,,,,#Environmental,#Aquatic,#Lake (large)
bacdive,Desulfovibrionaceae,4103,Desulfolutivibrio sulfodismutans,"DSM 3696, ATCC 43913, VKM B-1764",freshwater mud,Germany,Europe,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4103,,,,,,#Environmental,#Aquatic,#Freshwater
bacdive,Desulfovibrionaceae,4135,Desulfovibrio aminophilus,DSM 12254,anaerobic lagoon of dairy wastewater treatment plant,Colombia,Middle and South America,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4135,,,,,,#Engineered,#Waste,#Water treatment plant
bacdive,Desulfovibrionaceae,4135,,,,,,#Engineered,#Food production,#Dairy product
bacdive,Desulfovibrionaceae,130286,Desulfovibrio biadhensis,"DSM 28904, JCM 30146",Water of a Tunisian thermal spring###water of a terrestrial thermal spring,Tunisia,Africa,#Environmental,#Aquatic,#Thermal spring
bacdive,Desulfovibrionaceae,4146,Pseudodesulfovibrio brasiliensis,"DSM 15816, JCM 12178",Sediments of a hypersaline coastal lagoon###hypersaline anoxic sediment,Brazil,Middle and South America,#Condition,#Saline,
bacdive,Desulfovibrionaceae,4146,,,,,,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4146,,,,,,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4170,Fundidesulfovibrio butyratiphilus,"DSM 21556, JCM 15519",Anaerobic sewage sludge digester in Yokohama###anaerobic municipal sewage sludge digester,Japan,Asia,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4170,,,,,,#Engineered,#Waste,#Sewage sludge
bacdive,Desulfovibrionaceae,4170,,,,,,#Engineered,#Biodegradation,#Anaerobic digestor
bacdive,Desulfovibrionaceae,4130,Desulfovibrio cuneatus,"DSM 11391, STL 1",littoral sediment,Germany,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4131,Desulfovibrio cuneatus,"DSM 11392, STL 4",littoral sediment,Germany,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4073,Desulfovibrio desulfuricans,"DSM 642, ATCC 29577, NCIMB 8307, VKM B-1799, CCUG 34226, CIP 107039",Tar-sand mixture in waterlogged clay###tar and sand mix around corroded gas main,United Kingdom,Europe,#Environmental,#Terrestrial,#Sandy
bacdive,Desulfovibrionaceae,4073,,,,,,#Engineered,#Industrial,#Engineered product
bacdive,Desulfovibrionaceae,4074,Desulfovibrio desulfuricans,"DSM 1926, NCIMB 8380",sulphurous mud,Libya,Africa,#Condition,#Sulfuric,
bacdive,Desulfovibrionaceae,4074,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4075,Desulfovibrio desulfuricans,"DSM 1924, NCIMB 9467",creek mud,USA,North America,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4075,,,,,,#Environmental,#Aquatic,#River (Creek)
bacdive,Desulfovibrionaceae,4076,Desulfovibrio desulfuricans,"DSM 4369, VKM B-1800","gut, soil-feeding termite <I>Cubitermes</I> sp.",,,#Host Body-Site,#Gastrointestinal tract,#Stomach
bacdive,Desulfovibrionaceae,4076,,,,,,#Host,#Arthropoda,#Insecta
bacdive,Desulfovibrionaceae,4076,,,,,,#Environmental,#Terrestrial,#Soil
bacdive,Desulfovibrionaceae,4077,Desulfovibrio desulfuricans,"DSM 6949, ATCC 27774","rumen, sheep",,,#Host Body-Site,#Organ,#Rumen
bacdive,Desulfovibrionaceae,4077,,,,,,#Host,#Mammals,#Caprinae (Sheep/Goat)
bacdive,Desulfovibrionaceae,4078,Desulfovibrio desulfuricans,DSM 9104,anoxic ditch sludge,Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4078,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4079,Desulfovibrio desulfuricans,DSM 12129,sulfidic mud,USA,North America,#Condition,#Sulfuric,
bacdive,Desulfovibrionaceae,4079,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,154816,Desulfovibrio desulfuricans,CCUG 55332,"Human blood,69-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,154816,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,154816,,,,,,#Host,#Human,#Female
bacdive,Desulfovibrionaceae,156711,Desulfovibrio desulfuricans,CCUG 64305,"Human blood,68-yr-old female",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,156711,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,156711,,,,,,#Host,#Human,#Female
bacdive,Desulfovibrionaceae,156946,Desulfovibrio desulfuricans,CCUG 67268,"Human blood ,71-yr-old male",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,156946,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,156946,,,,,,#Host,#Human,#Male
bacdive,Desulfovibrionaceae,152917,Desulfovibrio fairfieldensis,CCUG 48003,"Human blood,82-yr-old man,chills,fever 39.3°C",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,152917,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,152917,,,,,,#Host,#Human,#Male
bacdive,Desulfovibrionaceae,154561,Desulfovibrio fairfieldensis,CCUG 54431,"Human blood,80-yr-old man",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,154561,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,154561,,,,,,#Host,#Human,#Male
bacdive,Desulfovibrionaceae,155624,Desulfovibrio fairfieldensis,CCUG 58497,Human blood,Sweden,Europe,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,155624,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,4144,Desulfovibrio ferrophilus,DSM 15579,enrichment culture with metallic iron as the only electron donor,Germany,Europe,#Engineered,#Laboratory,#Lab enrichment
bacdive,Desulfovibrionaceae,4125,Oceanidesulfovibrio gabonensis,"DSM 10636, SEBR 2840",water sample from oil pipeline,Gabon,Africa,#Engineered,#Industrial,#Engineered product
bacdive,Desulfovibrionaceae,4081,Desulfovibrio giganteus,"DSM 4370, VKM B-1762","gut, soil-feeding termite<I> Cubitermes</I> sp.",,,#Host Body-Site,#Gastrointestinal tract,#Stomach
bacdive,Desulfovibrionaceae,4081,,,,,,#Host,#Arthropoda,#Insecta
bacdive,Desulfovibrionaceae,4081,,,,,,#Environmental,#Terrestrial,#Soil
bacdive,Desulfovibrionaceae,4082,Desulfovibrio giganteus,DSM 4123,lagoon sediment,France,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4082,,,,,,#Environmental,#Aquatic,
bacdive,Desulfovibrionaceae,158496,Desulfovibrio gilichinskyi,"DSM 100341, VKM B-2877","cryopeg water sample, depth 12.5 - 20.0 m",Russia,Europe,#Environmental,#Aquatic,#Geologic
bacdive,Desulfovibrionaceae,4143,Oceanidesulfovibrio indonesiensis,"DSM 15121, NCIMB 13468, Ind 1",biofilm on severely corroded carbon steel structure of an oil storage vessel in marine environment,Indonesia,Asia,#Environmental,#Biofilm,
bacdive,Desulfovibrionaceae,4143,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4134,Desulfovibrio inopinatus,"DSM 10711, HHQ 20",marine sediment,Italy,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4134,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4128,Desulfovibrio intestinalis,DSM 11275,hindgut of termite <I>Mastotermes darwiniensis</I>,Germany,Europe,#Host Body-Site,#Gastrointestinal tract,
bacdive,Desulfovibrionaceae,4128,,,,,,#Host,#Arthropoda,#Insecta
bacdive,Desulfovibrionaceae,132727,Desulfovibrio intestinalis,DSM 21222,pond of olive mill wastewater,Morocco,Africa,#Environmental,#Aquatic,#Pond (small)
bacdive,Desulfovibrionaceae,132727,,,,,,#Engineered,#Waste,#Industrial wastewater
bacdive,Desulfovibrionaceae,132727,,,,,,#Engineered,#Industrial,
bacdive,Desulfovibrionaceae,4172,Desulfovibrio lacusfryxellense,"DSM 23315, ATCC BAA 2083","surficial sediments of a permanently ice-covered, meromictic lake",,Australia and Oceania,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4172,,,,,,#Environmental,#Aquatic,#Lake (large)
bacdive,Desulfovibrionaceae,4172,,,,,,#Environmental,#Aquatic,#Ice
bacdive,Desulfovibrionaceae,4176,Desulfovibrio legallii,"DSM 19129, CCUG 54389","Sludge,bioreactor treating wastewater###anaerobic wastewater digestor",Tunisia,Africa,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4176,,,,,,#Engineered,#Waste,#Wastewater
bacdive,Desulfovibrionaceae,4176,,,,,,#Engineered,#Biodegradation,#Anaerobic digestor
bacdive,Desulfovibrionaceae,4132,Desulfovibrio litoralis,"DSM 11393, STL 6",littoral sediment,Germany,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4160,Oceanidesulfovibrio marinus,"DSM 18311, JCM 14040",Marine sediments near Sfax###marine sediments,Tunisia,Africa,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4160,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,155542,Cupidesulfovibrio oxamicus,CCUG 58048,"Human blood,49-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,155542,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,155542,,,,,,#Host,#Human,#Female
bacdive,Desulfovibrionaceae,4133,Desulfovibrio oxyclinae,DSM 11498,hypersaline cyanobacterial mat,Egypt,Africa,#Condition,#Saline,
bacdive,Desulfovibrionaceae,4133,,,,,,#Host,#Microbial,#Bacteria
bacdive,Desulfovibrionaceae,4133,,,,,,#Environmental,#Microbial community,#Microbial mat
bacdive,Desulfovibrionaceae,4070,Desulfovibrio piger,"DSM 749, ATCC 29098, JCM 12224, VPI 11112",human faeces,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Desulfovibrionaceae,4070,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,158923,Desulfovibrio piger,DSM 106036,"feces; pig, 10 month old, genotype: APC1311/+ referring to the adenomatous-polyposis-coli (APC) protein",Germany,Europe,#Host,#Mammals,"#Suidae (Pig,Swine)"
bacdive,Desulfovibrionaceae,158923,,,,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Desulfovibrionaceae,159346,Desulfovibrio porci,"DSM 105247, JCM 34370","Feces of a German Landrace pig###feces; pig, 3 month old, wild type",Germany,Europe,#Host,#Mammals,"#Suidae (Pig,Swine)"
bacdive,Desulfovibrionaceae,159346,,,,,,#Host Body Product,#Gastrointestinal tract,#Feces (Stool)
bacdive,Desulfovibrionaceae,4167,Desulfovibrio psychrotolerans,"DSM 19430, JCM 14597, KCTC 5573",From mud and water of Pangong salt water lake###salt-water lake Pangong situated in the Himalayas###mud sample,India,Asia,#Condition,#Saline,
bacdive,Desulfovibrionaceae,4167,,,,,,#Environmental,#Aquatic,#Lake (large)
bacdive,Desulfovibrionaceae,158350,Maridesulfovibrio salinus,"DSM 101510, JCM 31065",Saline lake in Tunisia###water from a saline lake###water of saline lake,Tunisia,Africa,#Condition,#Saline,
bacdive,Desulfovibrionaceae,158350,,,,,,#Environmental,#Aquatic,#Non-marine Saline and Alkaline
bacdive,Desulfovibrionaceae,158350,,,,,,#Environmental,#Aquatic,#Lake (large)
bacdive,Desulfovibrionaceae,4136,Desulfobaculum senezii,"DSM 8436, JCM 16814",Solar saltern of Chula Vista###solar saltern,USA,North America,#Condition,#Saline,
bacdive,Desulfovibrionaceae,4137,Desulfobaculum senezii,DSM 8437,solar saltern sediment,USA,North America,#Condition,#Saline,
bacdive,Desulfovibrionaceae,4137,,,,,,#Environmental,#Terrestrial,#Sediment
bacdive,Desulfovibrionaceae,4120,Desulfovibrio simplex,"DSM 4141, JCM 16812","Anaerobic sour whey digester###mesophilic, anaerobic whey digestor",Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4120,,,,,,#Engineered,#Food production,#Dairy product
bacdive,Desulfovibrionaceae,4120,,,,,,#Engineered,#Biodegradation,
bacdive,Desulfovibrionaceae,4173,Desulfovibrio singaporenus,DSM 23528,seawater,Singapore,Asia,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4085,Desulfovibrio sp.,"DSM 496, ATCC 29494","mud, sewage plant",Germany,Europe,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4085,,,,,,#Engineered,#Waste,#Water treatment plant
bacdive,Desulfovibrionaceae,4087,Desulfovibrio sp.,DSM 2480,anaerobic sewage sludge,Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4087,,,,,,#Engineered,#Waste,#Sewage sludge
bacdive,Desulfovibrionaceae,4088,Desulfovibrio sp.,DSM 3099,marine sediment,Papua New Guinea,Australia and Oceania,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4088,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4089,Desulfovibrio sp.,DSM 3100,marine sediment,Papua New Guinea,Australia and Oceania,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4089,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4090,Desulfovibrio sp.,DSM 4195,marine sediment,Turkey,Asia,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4090,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4091,Desulfovibrio sp.,DSM 6605,sandy sediment,Japan,Asia,#Environmental,#Terrestrial,#Sediment
bacdive,Desulfovibrionaceae,4091,,,,,,#Environmental,#Terrestrial,#Sandy
bacdive,Desulfovibrionaceae,4092,Desulfovibrio sp.,"DSM 7057, OCM 18",bovine rumen,Germany,Europe,#Host Body-Site,#Organ,#Rumen
bacdive,Desulfovibrionaceae,4092,,,,,,#Host,#Mammals,"#Bovinae (Cow, Cattle)"
bacdive,Desulfovibrionaceae,4093,Desulfovibrio sp.,DSM 7073,"anoxic bore sample, industrial waste dump",Switzerland,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4093,,,,,,#Engineered,#Waste,#Solid waste
bacdive,Desulfovibrionaceae,4093,,,,,,#Engineered,#Industrial,
bacdive,Desulfovibrionaceae,4094,Desulfovibrio sp.,DSM 7074,rice field soils,Burkina Faso,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4094,,,,,,#Environmental,#Terrestrial,#Soil
bacdive,Desulfovibrionaceae,4094,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4095,Desulfovibrio sp.,DSM 7075,digester (cassava peel) inoculated with rumen content,"Congo, Republic of the",Africa,#Host Body Product,#Fluids,#Rumen fluid
bacdive,Desulfovibrionaceae,4095,,,,,,#Host Body-Site,#Organ,#Rumen
bacdive,Desulfovibrionaceae,4095,,,,,,#Host,#Plants,#Shrub (Scrub)
bacdive,Desulfovibrionaceae,4096,Desulfovibrio sp.,"DSM 8712, NCIMB 10455",mud,Australia,Australia and Oceania,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4097,Desulfovibrio sp.,DSM 9266,anaerobic fixed-bed reactor,Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4097,,,,,,#Engineered,,
bacdive,Desulfovibrionaceae,4098,Desulfovibrio sp.,"DSM 9953, VKM B-1675",mud,Turkmenistan,Asia,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4099,Desulfovibrio sp.,DSM 10291,sewage sludge,Germany,Europe,#Engineered,#Waste,#Sewage sludge
bacdive,Desulfovibrionaceae,4100,Desulfovibrio sp.,DSM 11493,anaerobic sewage digestor,Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4100,,,,,,#Engineered,#Waste,#Wastewater
bacdive,Desulfovibrionaceae,4100,,,,,,#Engineered,#Biodegradation,#Anaerobic digestor
bacdive,Desulfovibrionaceae,4101,Desulfovibrio sp.,DSM 12209,hypersaline sediment (salinity 130 g/L),USA,North America,#Environmental,#Terrestrial,#Sediment
bacdive,Desulfovibrionaceae,4102,Desulfovibrio sp.,DSM 12803,human dental plaque,Netherlands,Europe,#Host Body Product,#Oral cavity and Airways,#Dental plaque
bacdive,Desulfovibrionaceae,4102,,,,,,#Host Body-Site,#Oral cavity and airways,#Plaque
bacdive,Desulfovibrionaceae,4102,,,,,,#Host,#Human,
bacdive,Desulfovibrionaceae,22993,Desulfovibrio sp.,DSM 15744,estuarine sediments,Denmark,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,22993,,,,,,#Environmental,#Aquatic,#Brackish
bacdive,Desulfovibrionaceae,23899,Desulfovibrio sp.,DSM 16918,reduced marine surface sediment of a methane seep,Norway,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,23899,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,130938,Desulfovibrio sp.,DSM 24454,Oak Ridge integrated field res. challenge area,USA,North America,#Host,#Plants,#Tree
bacdive,Desulfovibrionaceae,130938,,,,,,#Environmental,#Terrestrial,
bacdive,Desulfovibrionaceae,131703,Desulfovibrio sp.,DSM 19274,oilfield separator,Tunisia,Africa,#Engineered,#Industrial,#Oil reservoir
bacdive,Desulfovibrionaceae,131703,,,,,,#Engineered,#Industrial,#Engineered product
bacdive,Desulfovibrionaceae,139737,Desulfovibrio sp.,DSM 21266,water (oil production),China,Asia,#Engineered,#Waste,#Wastewater
bacdive,Desulfovibrionaceae,139737,,,,,,#Engineered,#Industrial,#Oil reservoir
bacdive,Desulfovibrionaceae,150752,Desulfovibrio sp.,CCUG 42192,Clay (bentonite) 30% and crushed rock 70%,Sweden,Europe,#Environmental,#Terrestrial,#Soil
bacdive,Desulfovibrionaceae,156326,Desulfovibrio sp.,CCUG 61176,"Human blood,81-yr-old woman",Sweden,Europe,#Infection,#Patient,
bacdive,Desulfovibrionaceae,156326,,,,,,#Host Body Product,#Fluids,#Blood
bacdive,Desulfovibrionaceae,156326,,,,,,#Host,#Human,#Female
bacdive,Desulfovibrionaceae,157679,Desulfovibrio sp.,DSM 107641,sewage,Germany,Europe,#Engineered,#Waste,#Wastewater
bacdive,Desulfovibrionaceae,157680,Desulfovibrio sp.,DSM 108261,"Suspended anaerobic sludge, oleate degrading enrichments",Portugal,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,157680,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,157680,,,,,,#Engineered,#Laboratory,#Lab enrichment
bacdive,Desulfovibrionaceae,4105,Desulfovibrio vulgaris,"DSM 644, ATCC 29579, NCIMB 8303, VKM B-1760, CCUG 34227, CIP 107040",wealden clay,United Kingdom,Europe,#Environmental,#Terrestrial,#Soil
bacdive,Desulfovibrionaceae,4106,Desulfovibrio vulgaris,DSM 1744,marine mud,Germany,Europe,#Environmental,#Aquatic,#Sediment
bacdive,Desulfovibrionaceae,4106,,,,,,#Environmental,#Terrestrial,#Mud (Sludge)
bacdive,Desulfovibrionaceae,4106,,,,,,#Environmental,#Aquatic,#Marine
bacdive,Desulfovibrionaceae,4107,Desulfovibrio vulgaris,DSM 2119,anoxic sewage sludge,Germany,Europe,#Condition,#Anoxic (anaerobic),
bacdive,Desulfovibrionaceae,4107,,,,,,#Engineered,#Waste,#Sewage sludge
bacdive,Desulfovibrionaceae,4108,Desulfovibrio vulgaris,DSM 6617,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4108,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4109,Desulfovibrio vulgaris,DSM 6618,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4109,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4110,Desulfovibrio vulgaris,DSM 6619,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4110,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4111,Desulfovibrio vulgaris,DSM 6620,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4111,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4112,Desulfovibrio vulgaris,DSM 6621,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4112,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4113,Desulfovibrio vulgaris,DSM 6622,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4113,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4114,Desulfovibrio vulgaris,DSM 6623,rice field,Senegal,Africa,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
bacdive,Desulfovibrionaceae,4114,,,,,,#Engineered,#Agriculture,#Field
bacdive,Desulfovibrionaceae,4162,Desulfovibrio vulgaris,DSM 15375,termite gut,Burkina Faso,Africa,#Host Body-Site,#Gastrointestinal tract,
bacdive,Desulfovibrionaceae,4162,,,,,,#Host,#Arthropoda,#Insecta
bacdive,Desulfovibrionaceae,4163,Desulfovibrio vulgaris,"DSM 19637, JCM 14930",Paddy field soil in Miyazaki###degraded paddy field,Japan,Asia,#Environmental,#Terrestrial,#Mud (Sludge)
